match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,result_margin,winner,player_of_match,venue,umpire1,umpire2
335982,2007/08,Bangalore,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,140,140 runs,BB McCullum,M Chinnaswamy Stadium,nan,
335983,2007/08,Chandigarh,2008-04-19,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,runs,33,33 runs,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",nan,
335984,2007/08,Delhi,2008-04-19,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,wickets,9,9 wickets,MF Maharoof,Feroz Shah Kotla,nan,
335985,2007/08,Mumbai,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,wickets,5,5 wickets,MV Boucher,Wankhede Stadium,nan,
335986,2007/08,Kolkata,2008-04-20,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,wickets,5,5 wickets,DJ Hussey,Eden Gardens,nan,
335987,2007/08,Jaipur,2008-04-21,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,wickets,6,6 wickets,SR Watson,Sawai Mansingh Stadium,nan,
335988,2007/08,Hyderabad,2008-04-22,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,wickets,9,9 wickets,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",nan,
335989,2007/08,Chennai,2008-04-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,runs,6,6 runs,ML Hayden,"MA Chidambaram Stadium, Chepauk",nan,
335990,2007/08,Hyderabad,2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,wickets,3,3 wickets,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",nan,
335991,2007/08,Chandigarh,2008-04-25,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,runs,66,66 runs,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",nan,
335992,2007/08,Bangalore,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,wickets,7,7 wickets,SR Watson,M Chinnaswamy Stadium,nan,
335993,2007/08,Chennai,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,wickets,9,9 wickets,JDP Oram,"MA Chidambaram Stadium, Chepauk",nan,
335994,2007/08,Mumbai,2008-04-27,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,wickets,10,10 wickets,AC Gilchrist,Dr DY Patil Sports Academy,nan,
335995,2007/08,Chandigarh,2008-04-27,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,wickets,4,4 wickets,SM Katich,"Punjab Cricket Association Stadium, Mohali",nan,
335996,2007/08,Bangalore,2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,runs,13,13 runs,MS Dhoni,M Chinnaswamy Stadium,nan,
335997,2007/08,Kolkata,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,wickets,7,7 wickets,ST Jayasuriya,Eden Gardens,nan,
335998,2007/08,Delhi,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,10,10 runs,GD McGrath,Feroz Shah Kotla,nan,
335999,2007/08,Hyderabad,2008-05-01,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,wickets,7,7 wickets,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",nan,
336000,2007/08,Jaipur,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,runs,45,45 runs,SA Asnodkar,Sawai Mansingh Stadium,nan,
